DATE,Daily,7-day average,INCOMPLETE,Baseline
03/03/2020,0.0714,null,null,0
03/04/2020,0.1515,null,null,0
03/05/2020,0.0615,null,null,0
03/06/2020,0.0941,null,null,0
03/07/2020,0.1111,null,null,0
03/08/2020,0.1892,null,null,0
03/09/2020,0.1481,0.136,null,0
03/10/2020,0.1563,0.145,null,0
03/11/2020,0.2022,0.168,null,0
03/12/2020,0.2291,0.197,null,0
03/13/2020,0.2842,0.233,null,0
03/14/2020,0.3749,0.268,null,0
03/15/2020,0.4386,0.311,null,0
03/16/2020,0.4315,0.358,null,0
03/17/2020,0.4414,0.387,null,0
03/18/2020,0.4719,0.415,null,0
03/19/2020,0.4774,0.44,null,0
03/20/2020,0.5112,0.465,null,0
03/21/2020,0.5511,0.479,null,0
03/22/2020,0.5809,0.492,null,0
03/23/2020,0.6255,0.518,null,0
03/24/2020,0.6161,0.544,null,0
03/25/2020,0.6332,0.569,null,0
03/26/2020,0.6781,0.602,null,0
03/27/2020,0.6713,0.63,null,0
03/28/2020,0.7125,0.647,null,0
03/29/2020,0.702,0.659,null,0
03/30/2020,0.692,0.669,null,0
03/31/2020,0.67,0.677,null,0
04/01/2020,0.6294,0.676,null,0
04/02/2020,0.5986,0.661,null,0
04/03/2020,0.5757,0.644,null,0
04/04/2020,0.592,0.633,null,0
04/05/2020,0.5748,0.62,null,0
04/06/2020,0.5615,0.599,null,0
04/07/2020,0.5484,0.581,null,0
04/08/2020,0.5267,0.565,null,0
04/09/2020,0.5288,0.555,null,0
04/10/2020,0.5522,0.552,null,0
04/11/2020,0.5142,0.543,null,0
04/12/2020,0.477,0.534,null,0
04/13/2020,0.4588,0.519,null,0
04/14/2020,0.4237,0.497,null,0
04/15/2020,0.3763,0.471,null,0
04/16/2020,0.3545,0.441,null,0
04/17/2020,0.3351,0.408,null,0
04/18/2020,0.3279,0.387,null,0
04/19/2020,0.3401,0.373,null,0
04/20/2020,0.3218,0.355,null,0
04/21/2020,0.309,0.337,null,0
04/22/2020,0.2998,0.325,null,0
04/23/2020,0.2785,0.314,null,0
04/24/2020,0.2675,0.304,null,0
04/25/2020,0.2581,0.297,null,0
04/26/2020,0.2291,0.287,null,0
04/27/2020,0.226,0.271,null,0
04/28/2020,0.2279,0.257,null,0
04/29/2020,0.2045,0.24,null,0
04/30/2020,0.1927,0.226,null,0
05/01/2020,0.1929,0.215,null,0
05/02/2020,0.1917,0.209,null,0
05/03/2020,0.1792,0.205,null,0
05/04/2020,0.1541,0.193,null,0
05/05/2020,0.1511,0.18,null,0
05/06/2020,0.1385,0.168,null,0
05/07/2020,0.1287,0.158,null,0
05/08/2020,0.1284,0.148,null,0
05/09/2020,0.1433,0.143,null,0
05/10/2020,0.122,0.139,null,0
05/11/2020,0.1105,0.131,null,0
05/12/2020,0.106,0.123,null,0
05/13/2020,0.1049,0.117,null,0
05/14/2020,0.1001,0.112,null,0
05/15/2020,0.0989,0.108,null,0
05/16/2020,0.0945,0.104,null,0
05/17/2020,0.0831,0.102,null,0
05/18/2020,0.0732,0.095,null,0
05/19/2020,0.0773,0.09,null,0
05/20/2020,0.0641,0.082,null,0
05/21/2020,0.0643,0.076,null,0
05/22/2020,0.06,0.07,null,0
05/23/2020,0.0584,0.067,null,0
05/24/2020,0.0572,0.066,null,0
05/25/2020,0.0508,0.063,null,0
05/26/2020,0.0495,0.058,null,0
05/27/2020,0.0498,0.055,null,0
05/28/2020,0.0409,0.051,null,0
05/29/2020,0.0397,0.048,null,0
05/30/2020,0.0431,0.047,null,0
05/31/2020,0.0379,0.045,null,0
06/01/2020,0.0332,0.042,null,0
06/02/2020,0.0314,0.039,null,0
06/03/2020,0.0325,0.036,null,0
06/04/2020,0.0308,0.034,null,0
06/05/2020,0.0234,0.032,null,0
06/06/2020,0.0283,0.031,null,0
06/07/2020,0.0308,0.03,null,0
06/08/2020,0.023,0.028,null,0
06/09/2020,0.0203,0.026,null,0
06/10/2020,0.0219,0.025,null,0
06/11/2020,0.0213,0.023,null,0
06/12/2020,0.0217,0.023,null,0
06/13/2020,0.0211,0.022,null,0
06/14/2020,0.0223,0.022,null,0
06/15/2020,0.0173,0.02,null,0
06/16/2020,0.0178,0.02,null,0
06/17/2020,0.018,0.019,null,0
06/18/2020,0.0166,0.019,null,0
06/19/2020,0.0178,0.018,null,0
06/20/2020,0.0205,0.018,null,0
06/21/2020,0.0222,0.018,null,0
06/22/2020,0.0164,0.018,null,0
06/23/2020,0.0163,0.018,null,0
06/24/2020,0.0172,0.017,null,0
06/25/2020,0.0143,0.017,null,0
06/26/2020,0.0153,0.017,null,0
06/27/2020,0.0172,0.016,null,0
06/28/2020,0.019,0.016,null,0
06/29/2020,0.0162,0.016,null,0
06/30/2020,0.0171,0.016,null,0
07/01/2020,0.0147,0.016,null,0
07/02/2020,0.0165,0.016,null,0
07/03/2020,0.0173,0.017,null,0
07/04/2020,0.0195,0.017,null,0
07/05/2020,0.0166,0.016,null,0
07/06/2020,0.0164,0.016,null,0
07/07/2020,0.0179,0.017,null,0
07/08/2020,0.0147,0.017,null,0
07/09/2020,0.0156,0.016,null,0
07/10/2020,0.016,0.016,null,0
07/11/2020,0.0203,0.016,null,0
07/12/2020,0.0214,0.017,null,0
07/13/2020,0.0174,0.017,null,0
07/14/2020,0.0153,0.017,null,0
07/15/2020,0.0148,0.017,null,0
07/16/2020,0.0167,0.017,null,0
07/17/2020,0.0171,0.017,null,0
07/18/2020,0.0182,0.017,null,0
07/19/2020,0.017,0.016,null,0
07/20/2020,0.0153,0.016,null,0
07/21/2020,0.0135,0.016,null,0
07/22/2020,0.0128,0.015,null,0
07/23/2020,0.0141,0.015,null,0
07/24/2020,0.0153,0.015,null,0
07/25/2020,0.015,0.014,null,0
07/26/2020,0.0174,0.014,null,0
07/27/2020,0.0122,0.014,null,0
07/28/2020,0.0133,0.014,null,0
07/29/2020,0.0118,0.014,null,0
07/30/2020,0.012,0.013,null,0
07/31/2020,0.0134,0.013,null,0
08/01/2020,0.0176,0.013,null,0
08/02/2020,0.0159,0.013,null,0
08/03/2020,0.0128,0.013,null,0
08/04/2020,0.0114,0.013,null,0
08/05/2020,0.0124,0.013,null,0
08/06/2020,0.0116,0.013,null,0
08/07/2020,0.012,0.013,null,0
08/08/2020,0.014,0.012,null,0
08/09/2020,0.0159,0.013,null,0
08/10/2020,0.0112,0.012,null,0
08/11/2020,0.0116,0.012,null,0
08/12/2020,0.0119,0.012,null,0
08/13/2020,0.0113,0.012,null,0
08/14/2020,0.0126,0.012,null,0
08/15/2020,0.0129,0.012,null,0
08/16/2020,0.015,0.012,null,0
08/17/2020,0.0108,0.012,null,0
08/18/2020,0.0096,0.011,null,0
08/19/2020,0.0093,0.011,null,0
08/20/2020,0.0089,0.011,null,0
08/21/2020,0.0103,0.01,null,0
08/22/2020,0.012,0.01,null,0
08/23/2020,0.0141,0.01,null,0
08/24/2020,0.0098,0.01,null,0
08/25/2020,0.0098,0.01,null,0
08/26/2020,0.0106,0.01,null,0
08/27/2020,0.0101,0.01,null,0
08/28/2020,0.0106,0.011,null,0
08/29/2020,0.0102,0.01,null,0
08/30/2020,0.0169,0.011,null,0
08/31/2020,0.009,0.01,null,0
09/01/2020,0.0096,0.01,null,0
09/02/2020,0.0086,0.01,null,0
09/03/2020,0.0091,0.01,null,0
09/04/2020,0.0084,0.009,null,0
09/05/2020,0.0114,0.01,null,0
09/06/2020,0.0181,0.01,null,0
09/07/2020,0.0144,0.01,null,0
09/08/2020,0.0112,0.011,null,0
09/09/2020,0.0099,0.011,null,0
09/10/2020,0.0105,0.011,null,0
09/11/2020,0.0112,0.012,null,0
09/12/2020,0.0148,0.012,null,0
09/13/2020,0.0221,0.012,null,0
09/14/2020,0.0124,0.012,null,0
09/15/2020,0.0106,0.012,null,0
09/16/2020,0.0115,0.012,null,0
09/17/2020,0.0116,0.012,null,0
09/18/2020,0.0112,0.012,null,0
09/19/2020,0.0128,0.012,null,0
09/20/2020,0.0156,0.012,null,0
09/21/2020,0.0149,0.012,null,0
09/22/2020,0.0123,0.013,null,0
09/23/2020,0.0143,0.013,null,0
09/24/2020,0.0146,0.014,45000,0
09/25/2020,0.0157,0.014,45000,0
09/26/2020,0.0175,0.015,45000,0
09/27/2020,0.0322,0.016,45000,0
09/28/2020,0.0116,0.015,45000,0
09/29/2020,0.0181,0.016,45000,0
09/30/2020,0.0151,0.016,45000,0